"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"2511",99,10473631,7997874,9166863,7e+06,14816,528,77,7.6,94430,0,36,1,55,10
"2512",106,10500666,7997874,9190525,7e+06,1120,665,79,7,112705,0,17,2,72,10
"2513",100,6664195,10578095,5480996,8700000,39507,525,73,7.1,95910,0,4,0,19,13
"2514",105,24729166,12158730,20338609,1e+07,12946,491,75,6.8,20389,0,5,0,21,13
"2515",108,17690773,15995749,15483540,1.4e+07,41359,375,63,6.5,60476,0,0,0,1,10
"2516",99,102295434,14504142,49369900,7e+06,450,362,56,5.7,40778,0,2,0,9,31
"2517",88,96652370,9709859,44793200,4500000,1584,442,49,6.6,57105,0,1,0,4,32
"2518",101,62530372,4246545,26505000,1800000,42918,924,78,7.5,169812,0,2,0,3,35
"2519",82,45602765,25564663,30324946,1.7e+07,9271,302,26,6.2,51370,0,0,0,0,21
"2520",125,5952739,20708300,5749134,2e+07,3979,530,79,7,54250,0,15,0,50,5
"2521",136,44124919,41416599,42615685,4e+07,28927,719,44,6.1,150808,0,0,0,6,5
"2522",108,10846306,18919055,9172810,1.6e+07,12178,308,74,6.7,25135,0,4,0,17,12
"2523",109,34880572,47958261,26183197,3.6e+07,16611,245,36,6.1,40796,0,0,0,1,16
"2524",100,55270905,26305284,52528330,2.5e+07,3202,51,28,4.9,5014,0,1,0,6,6
"2525",107,27405977,37652842,21835784,3e+07,1095,273,48,6.6,61876,0,1,0,3,14
"2526",128,187742676,69884533,107458785,4e+07,16751,207,67,7.2,78264,0,6,0,11,27
